"","학교명","도로명주소","lon","lat","자치구","index"
"1","서울윤중초등학교","서울특별시 영등포구 여의나루로2길 14",126.9228068,37.5197467,"영등포구","1"
"2","서울우신초등학교","서울특별시 영등포구 신길로 190",126.9118923,37.509564,"영등포구","2"
"3","서울영중초등학교","서울특별시 영등포구 양산로 185",126.9038138,37.5236591,"영등포구","3"
"4","서울영원초등학교","서울특별시 영등포구 도영로 22길 31",126.9021736,37.5106822,"영등포구","4"
"5","서울영신초등학교","서울특별시 영등포구 도신로60길 23",126.918009,37.509968,"영등포구","5"
"6","서울영문초등학교","서울특별시 영등포구 문래로 56",126.8876574,37.5194948,"영등포구","6"
"7","서울영림초등학교","서울특별시 영등포구 시흥대로173길 14",126.9024483,37.4873525,"영등포구","7"
"8","서울영등포초등학교","서울특별시 영등포구 경인로 756",126.8992618,37.5129331,"영등포구","8"
"9","서울영동초등학교","서울특별시 영등포구 국회대로53길 20",126.9074081,37.5263594,"영등포구","9"
"10","서울여의도초등학교","서울특별시 영등포구 여의대방로 439",126.936812,37.522829,"영등포구","10"
"11","서울신영초등학교","서울특별시 영등포구 도신로4길 32",126.8957265,37.5006847,"영등포구","11"
"12","서울신대림초등학교","서울특별시 영등포구 대림로8길 25",126.9058212,37.492244,"영등포구","12"
"13","서울선유초등학교","서울특별시 영등포구 선유로43가길 14",126.8927942,37.5328162,"영등포구","13"
"14","서울문래초등학교","서울특별시 영등포구 문래로 104",126.8932156,37.5185396,"영등포구","14"
"15","서울도신초등학교","서울특별시 영등포구 도림로53길 32-9",126.9008811,37.4987722,"영등포구","15"
"16","서울도림초등학교","서울특별시 영등포구 가마산로65길 22",126.9070328,37.5079604,"영등포구","16"
"17","서울대영초등학교","서울특별시 영등포구 신길로23길 43",126.9061518,37.5023694,"영등포구","17"
"18","서울대방초등학교","서울특별시 영등포구 여의대방로35길 14",126.9191481,37.5026701,"영등포구","18"
"19","서울대동초등학교","서울특별시 영등포구 대림로21길 6",126.9004086,37.4935084,"영등포구","19"
"20","서울대길초등학교","서울특별시 영등포구 대방천로 206",126.9132303,37.4977844,"영등포구","20"
"21","서울당중초등학교","서울특별시 영등포구 선유로 131",126.8897251,37.5263783,"영등포구","21"
"22","서울당서초등학교","서울특별시 영등포구 당산로 187",126.8997323,37.5319593,"영등포구","22"
"23","서울당산초등학교","서울특별시 영등포구 선유로55길 32",126.8963677,37.5397741,"영등포구","23"
