"","vl","hl","index1","vl2","hl2","index2"
"1",127.0088365,37.4620102,1,127.0088365,37.4620102,1
"2",127.0088365,37.4741220333333,2,127.027981183333,37.4620102,2
"3",127.0088365,37.4862338666667,3,127.047125866667,37.4620102,3
"4",127.0088365,37.4983457,4,127.06627055,37.4620102,4
"5",127.0088365,37.5104575333333,5,127.085415233333,37.4620102,5
"6",127.0088365,37.5225693666667,6,127.104559916667,37.4620102,6
"7",127.0088365,37.5346812,7,127.1237046,37.4620102,7
"8",127.1237046,37.4620102,1,127.0088365,37.5346812,1
"9",127.1237046,37.4741220333333,2,127.027981183333,37.5346812,2
"10",127.1237046,37.4862338666667,3,127.047125866667,37.5346812,3
"11",127.1237046,37.4983457,4,127.06627055,37.5346812,4
"12",127.1237046,37.5104575333333,5,127.085415233333,37.5346812,5
"13",127.1237046,37.5225693666667,6,127.104559916667,37.5346812,6
"14",127.1237046,37.5346812,7,127.1237046,37.5346812,7
