"","V1","주소","lon","lat","자치구"
"1",1,"서울특별시 강남구 일원로 21",127.0808759,37.4922499,"강남구"
"2",2,"서울특별시 강남구 개포로 401",127.057776,37.4861543,"강남구"
"3",3,"서울특별시 강남구 남부순환로363길 19",127.0367809,37.4862841,"강남구"
"4",4,"서울특별시 강남구 선릉로 209",127.0531484,37.4928283,"강남구"
"5",5,"서울특별시 강남구 양재천로 363",127.0624593,37.4909689,"강남구"
"6",6,"서울특별시 강남구 광평로31길 74",127.0860392,37.4864123,"강남구"
"7",7,"서울특별시 강남구 개포로22길 87",127.0520896,37.4756728,"강남구"
"8",8,"서울특별시 강남구 밤고개로21길 15",127.1143801,37.4735007,"강남구"
"9",9,"서울특별시 강남구 영놈대로4길 20",127.0213313,37.5150736,"강남구"
"10",10,"서울특별시 강남구 자곡로 150",127.0998493,37.4725138,"강남구"
"11",11,"서울특별시 강남구 개포로109길 74",127.0779765,37.4970272,"강남구"
"12",12,"서울특별시 강남구 강남대로120길 33",127.0260317,37.5081699,"강남구"
"13",13,"서울특별시 강남구 헌릉로618길 8",127.1056319,37.4641998,"강남구"
"14",14,"서울특별시 강남구 개포로 263",127.051863,37.4807232,"강남구"
